ED,Reported As,Reporting,Lizette Colon (Democratic),Scattered,Total Votes,Lizette Colon RECAP,Scattered RECAP,p_Lizette Colon (Democratic),p_Scattered,p_Lizette Colon RECAP,p_Scattered RECAP,winner,winner_p
53062,53062,100,27,0,27,27,0,1.0,0.0,1.0,0.0,Lizette Colon RECAP,1.0
53066,53066,100,140,2,142,140,2,0.9859154929577465,0.014084507042253521,0.9859154929577465,0.014084507042253521,Lizette Colon RECAP,0.9859154929577465
53067,53067,100,132,0,132,132,0,1.0,0.0,1.0,0.0,Lizette Colon RECAP,1.0
53068,53068,100,130,0,130,130,0,1.0,0.0,1.0,0.0,Lizette Colon RECAP,1.0
53069,53069,100,63,1,64,63,1,0.984375,0.015625,0.984375,0.015625,Lizette Colon RECAP,0.984375
53070,53070,100,153,0,153,153,0,1.0,0.0,1.0,0.0,Lizette Colon RECAP,1.0
53071,53071,100,69,0,69,69,0,1.0,0.0,1.0,0.0,Lizette Colon RECAP,1.0
53072,53072,100,116,0,116,116,0,1.0,0.0,1.0,0.0,Lizette Colon RECAP,1.0
53073,53073,100,150,0,150,150,0,1.0,0.0,1.0,0.0,Lizette Colon RECAP,1.0
53074,53074,100,142,1,143,142,1,0.993006993006993,0.006993006993006993,0.993006993006993,0.006993006993006993,Lizette Colon RECAP,0.993006993006993
53075,53075,100,71,0,71,71,0,1.0,0.0,1.0,0.0,Lizette Colon RECAP,1.0
53076,53076,100,92,0,92,92,0,1.0,0.0,1.0,0.0,Lizette Colon RECAP,1.0
53077,53077,100,122,0,122,122,0,1.0,0.0,1.0,0.0,Lizette Colon RECAP,1.0
54001,54001,100,41,0,41,41,0,1.0,0.0,1.0,0.0,Lizette Colon RECAP,1.0
54002,54002,100,65,1,66,65,1,0.9848484848484849,0.015151515151515152,0.9848484848484849,0.015151515151515152,Lizette Colon RECAP,0.9848484848484849
54003,54003,100,91,1,92,91,1,0.9891304347826086,0.010869565217391304,0.9891304347826086,0.010869565217391304,Lizette Colon RECAP,0.9891304347826086
54004,54004,100,92,0,92,92,0,1.0,0.0,1.0,0.0,Lizette Colon RECAP,1.0
54005,54005,100,14,0,14,14,0,1.0,0.0,1.0,0.0,Lizette Colon RECAP,1.0
