ED,Reported As,Reporting,Scattered,Vivian E. Cook (Democratic),Total Votes,Scattered RECAP,Vivian E. Cook RECAP,p_Scattered,p_Vivian E. Cook (Democratic),p_Scattered RECAP,p_Vivian E. Cook RECAP,winner,winner_p
32001,32001,100,0,197,197,0,197,0.0,1.0,0.0,1.0,Vivian E. Cook RECAP,1.0
32002,32002,100,0,2,2,0,2,0.0,1.0,0.0,1.0,Vivian E. Cook RECAP,1.0
32003,32003,100,1,206,207,1,206,0.004830917874396135,0.9951690821256038,0.004830917874396135,0.9951690821256038,Vivian E. Cook RECAP,0.9951690821256038
32004,32004,100,2,224,226,2,224,0.008849557522123894,0.9911504424778761,0.008849557522123894,0.9911504424778761,Vivian E. Cook RECAP,0.9911504424778761
32005,32005,100,3,145,148,3,145,0.02027027027027027,0.9797297297297297,0.02027027027027027,0.9797297297297297,Vivian E. Cook RECAP,0.9797297297297297
32006,32006,100,0,175,175,0,175,0.0,1.0,0.0,1.0,Vivian E. Cook RECAP,1.0
32007,32007,100,0,20,20,0,20,0.0,1.0,0.0,1.0,Vivian E. Cook RECAP,1.0
32008,32008,100,0,26,26,0,26,0.0,1.0,0.0,1.0,Vivian E. Cook RECAP,1.0
32009,32009,100,0,25,25,0,25,0.0,1.0,0.0,1.0,Vivian E. Cook RECAP,1.0
32010,32010,100,0,10,10,0,10,0.0,1.0,0.0,1.0,Vivian E. Cook RECAP,1.0
32011,32011,100,0,52,52,0,52,0.0,1.0,0.0,1.0,Vivian E. Cook RECAP,1.0
32013,32013,100,0,25,25,0,25,0.0,1.0,0.0,1.0,Vivian E. Cook RECAP,1.0
32012,32013,100,0,0,0,0,0,0,0,0,0,n/a,0
32014,32014,100,0,3,3,0,3,0.0,1.0,0.0,1.0,Vivian E. Cook RECAP,1.0
32015,32015,100,0,165,165,0,165,0.0,1.0,0.0,1.0,Vivian E. Cook RECAP,1.0
32016,32016,100,0,193,193,0,193,0.0,1.0,0.0,1.0,Vivian E. Cook RECAP,1.0
32017,32017,100,0,169,169,0,169,0.0,1.0,0.0,1.0,Vivian E. Cook RECAP,1.0
32018,32018,100,0,119,119,0,119,0.0,1.0,0.0,1.0,Vivian E. Cook RECAP,1.0
32019,32019,100,0,122,122,0,122,0.0,1.0,0.0,1.0,Vivian E. Cook RECAP,1.0
32020,32020,100,1,144,145,1,144,0.006896551724137931,0.993103448275862,0.006896551724137931,0.993103448275862,Vivian E. Cook RECAP,0.993103448275862
32021,32021,100,0,178,178,0,178,0.0,1.0,0.0,1.0,Vivian E. Cook RECAP,1.0
32022,32022,100,2,155,157,2,155,0.012738853503184714,0.9872611464968153,0.012738853503184714,0.9872611464968153,Vivian E. Cook RECAP,0.9872611464968153
32023,32023,100,0,126,126,0,126,0.0,1.0,0.0,1.0,Vivian E. Cook RECAP,1.0
32024,32024,100,1,95,96,1,95,0.010416666666666666,0.9895833333333334,0.010416666666666666,0.9895833333333334,Vivian E. Cook RECAP,0.9895833333333334
32025,32025,100,0,160,160,0,160,0.0,1.0,0.0,1.0,Vivian E. Cook RECAP,1.0
32026,32026,100,0,142,142,0,142,0.0,1.0,0.0,1.0,Vivian E. Cook RECAP,1.0
32027,32027,100,1,170,171,1,170,0.005847953216374269,0.9941520467836257,0.005847953216374269,0.9941520467836257,Vivian E. Cook RECAP,0.9941520467836257
32028,32028,100,1,163,164,1,163,0.006097560975609756,0.9939024390243902,0.006097560975609756,0.9939024390243902,Vivian E. Cook RECAP,0.9939024390243902
32029,32029,100,0,220,220,0,220,0.0,1.0,0.0,1.0,Vivian E. Cook RECAP,1.0
32030,32030,100,1,184,185,1,184,0.005405405405405406,0.9945945945945946,0.005405405405405406,0.9945945945945946,Vivian E. Cook RECAP,0.9945945945945946
32031,32031,100,0,192,192,0,192,0.0,1.0,0.0,1.0,Vivian E. Cook RECAP,1.0
32032,32032,100,1,97,98,1,97,0.01020408163265306,0.9897959183673469,0.01020408163265306,0.9897959183673469,Vivian E. Cook RECAP,0.9897959183673469
32033,32033,100,1,276,277,1,276,0.0036101083032490976,0.9963898916967509,0.0036101083032490976,0.9963898916967509,Vivian E. Cook RECAP,0.9963898916967509
32034,32034,100,0,261,261,0,261,0.0,1.0,0.0,1.0,Vivian E. Cook RECAP,1.0
32035,32035,100,1,207,208,1,207,0.004807692307692308,0.9951923076923077,0.004807692307692308,0.9951923076923077,Vivian E. Cook RECAP,0.9951923076923077
32036,32036,100,0,218,218,0,218,0.0,1.0,0.0,1.0,Vivian E. Cook RECAP,1.0
32037,32037,100,0,101,101,0,101,0.0,1.0,0.0,1.0,Vivian E. Cook RECAP,1.0
32038,32038,100,0,249,249,0,249,0.0,1.0,0.0,1.0,Vivian E. Cook RECAP,1.0
32039,32039,100,0,213,213,0,213,0.0,1.0,0.0,1.0,Vivian E. Cook RECAP,1.0
32040,32040,100,1,271,272,1,271,0.003676470588235294,0.9963235294117647,0.003676470588235294,0.9963235294117647,Vivian E. Cook RECAP,0.9963235294117647
32041,32041,100,0,227,227,0,227,0.0,1.0,0.0,1.0,Vivian E. Cook RECAP,1.0
32042,32042,100,1,266,267,1,266,0.003745318352059925,0.9962546816479401,0.003745318352059925,0.9962546816479401,Vivian E. Cook RECAP,0.9962546816479401
32043,32043,100,0,268,268,0,268,0.0,1.0,0.0,1.0,Vivian E. Cook RECAP,1.0
32044,32044,100,0,98,98,0,98,0.0,1.0,0.0,1.0,Vivian E. Cook RECAP,1.0
32045,32045,100,0,283,283,0,283,0.0,1.0,0.0,1.0,Vivian E. Cook RECAP,1.0
32046,32046,100,0,167,167,0,167,0.0,1.0,0.0,1.0,Vivian E. Cook RECAP,1.0
32047,32047,100,0,156,156,0,156,0.0,1.0,0.0,1.0,Vivian E. Cook RECAP,1.0
32048,32048,100,0,140,140,0,140,0.0,1.0,0.0,1.0,Vivian E. Cook RECAP,1.0
32049,32049,100,2,203,205,2,203,0.00975609756097561,0.9902439024390244,0.00975609756097561,0.9902439024390244,Vivian E. Cook RECAP,0.9902439024390244
32050,32050,100,0,231,231,0,231,0.0,1.0,0.0,1.0,Vivian E. Cook RECAP,1.0
32051,32051,100,0,240,240,0,240,0.0,1.0,0.0,1.0,Vivian E. Cook RECAP,1.0
32052,32052,100,0,130,130,0,130,0.0,1.0,0.0,1.0,Vivian E. Cook RECAP,1.0
32053,32053,100,1,206,207,1,206,0.004830917874396135,0.9951690821256038,0.004830917874396135,0.9951690821256038,Vivian E. Cook RECAP,0.9951690821256038
32054,32054,100,0,156,156,0,156,0.0,1.0,0.0,1.0,Vivian E. Cook RECAP,1.0
32055,32055,100,0,186,186,0,186,0.0,1.0,0.0,1.0,Vivian E. Cook RECAP,1.0
32056,32056,100,0,70,70,0,70,0.0,1.0,0.0,1.0,Vivian E. Cook RECAP,1.0
32057,32057,100,0,309,309,0,309,0.0,1.0,0.0,1.0,Vivian E. Cook RECAP,1.0
32058,32058,100,1,272,273,1,272,0.003663003663003663,0.9963369963369964,0.003663003663003663,0.9963369963369964,Vivian E. Cook RECAP,0.9963369963369964
32059,32059,100,1,235,236,1,235,0.00423728813559322,0.9957627118644068,0.00423728813559322,0.9957627118644068,Vivian E. Cook RECAP,0.9957627118644068
32060,32060,100,0,308,308,0,308,0.0,1.0,0.0,1.0,Vivian E. Cook RECAP,1.0
32061,32061,100,0,261,261,0,261,0.0,1.0,0.0,1.0,Vivian E. Cook RECAP,1.0
32062,32062,100,0,327,327,0,327,0.0,1.0,0.0,1.0,Vivian E. Cook RECAP,1.0
32063,32063,100,1,295,296,1,295,0.0033783783783783786,0.9966216216216216,0.0033783783783783786,0.9966216216216216,Vivian E. Cook RECAP,0.9966216216216216
32064,32064,100,1,293,294,1,293,0.003401360544217687,0.9965986394557823,0.003401360544217687,0.9965986394557823,Vivian E. Cook RECAP,0.9965986394557823
32065,32065,100,1,292,293,1,292,0.0034129692832764505,0.9965870307167235,0.0034129692832764505,0.9965870307167235,Vivian E. Cook RECAP,0.9965870307167235
32066,32066,100,0,295,295,0,295,0.0,1.0,0.0,1.0,Vivian E. Cook RECAP,1.0
32067,32067,100,2,270,272,2,270,0.007352941176470588,0.9926470588235294,0.007352941176470588,0.9926470588235294,Vivian E. Cook RECAP,0.9926470588235294
32068,32068,100,1,285,286,1,285,0.0034965034965034965,0.9965034965034965,0.0034965034965034965,0.9965034965034965,Vivian E. Cook RECAP,0.9965034965034965
32069,32069,100,0,303,303,0,303,0.0,1.0,0.0,1.0,Vivian E. Cook RECAP,1.0
32070,32070,100,1,293,294,1,293,0.003401360544217687,0.9965986394557823,0.003401360544217687,0.9965986394557823,Vivian E. Cook RECAP,0.9965986394557823
32071,32071,100,2,259,261,2,259,0.007662835249042145,0.9923371647509579,0.007662835249042145,0.9923371647509579,Vivian E. Cook RECAP,0.9923371647509579
32072,32072,100,0,221,221,0,221,0.0,1.0,0.0,1.0,Vivian E. Cook RECAP,1.0
32073,32073,100,0,179,179,0,179,0.0,1.0,0.0,1.0,Vivian E. Cook RECAP,1.0
32074,32074,100,1,156,157,1,156,0.006369426751592357,0.9936305732484076,0.006369426751592357,0.9936305732484076,Vivian E. Cook RECAP,0.9936305732484076
